content,contentTranslation,languageInEnglish,preprocessed,translated,detected_lang,detected_conf
"((:corona)) ((:palma))
Chloe va(le)","Bye, Chloe!",Latin,"corona palma, chloe vale","bye crown palm, chloe",,
VIII ((semis)) ((quadrans)),"8 3/4 asses (?) = 8 asses, 1/2 as (semis), 1/4 as (quadrans)",Latin,viii semis quadrans,quarter of eight,,
"VII
N",(Incomprehensible series of letters),Latin,"vii, n","vii, n",,
"&#7778;[ol]&#7735;emnes
&#7685;[e]ne futues","ṣolḷemnes, ḅene futues",Latin,"ṣolḷemnes, ḅene futues","ṣolḷemnes, ḅene futues",,
"Pacatus 
hic cum suis 
masit (:mansit) Pompeis",Pacatus stayed here in Pompeii with his (friends),Latin,"pacatus , hic cum suis , mansit pompeis","Peacefully, here with his people, he remained at Pompeii",,
"Unus amat una(m).
Sa(lutem). Sal(utem).","one loves one., greetings. health",Latin,"unus amat unam., salutem. salutem.","one loves one., greetings. health",,
&#12296;:textus non legitur&#12297;,(incomprehensible series of characters),Latin,,,,
"Hiic (:Hic) venatio pugnabiit (:pugnabit) V K(alendis) Septembriis (:Septembris)
et Felix ad ursos pugnabiit (:pugnabit)","here the hunt will fight on the 5th of September, and the lucky one will fight against the bears",Latin,"hic venatio pugnabit v kalendis septembris, et felix ad ursos pugnabit","here the hunt will fight on the 5th of September, and the lucky one will fight against the bears",,
Commun(em?),common,Latin,communem,common,,
"ACP  VI
&#12296;:vacat&#12297; VII","ACP 6, 6",Latin,"acp vi, vii","acp vi, vii",,
"&#12296;:columna 1&#12297;
CV
MM
    
&#12296;:columna 2&#12297;
huc co[nveniunt]
Prim(us)
[F]ortuna[tus]
Felix",", cv, mm, , , come here, the first, fortunate, happy",Latin,", cv, mm,   , , huc conveniunt, primus, fortunatus, felix",", cv, mm, , , come here, the first, fortunate, happy",,
Dos I a(ssis),Give (Greek imperative!) one as (small coin),Latin,dos i assis,dos i assis,,
"&#12296;:ad perpendiculum&#12297;
PVB",PVB,Latin,", pvb",", pvb",,
"Atilius a(ssem) I
Atilius a(ssem) I
Atilius a(ssem) I","Atilius 1 as (small coin), Atilius 1 as, Atilius 1 as",Latin,"atilius assem i, atilius assem i, atilius assem i","more assem i, mores asem i, mores asem i",,
"Synethus
Faustillam
futuit
obiq&#770;ûe (:ubique) rite","synethus, faustilla, fuit, and everywhere properly",Latin,"synethus, faustillam, futuit, obiq̂ubique rite","synethus, faustilla, fuit, and everywhere properly",,
"Dorcas 
+7?+",Dorcas (...other letters here...),Latin,"dorcas , 7","Dorcas, 7",,
Acan[th]u&#818;s&#818; h&#818;i&#818;c&#818;,Acanthus (was) here,Latin,acanthu̲s̲ h̲i̲c̲,acanthu̲s̲ h̲i̲c̲,,
Euce (:Euche) issa (:ipsa),she herself,Latin,euche ipsa,she herself,,
"ROTVIIIII
ROT&#803;V   
RO&#803;
",(Repetition of letters in a series),Latin,"rotviiiii, roṭv  , rọ, ","rotviiii, roṭv, ró,",,
IOLO,(incomprehensible series of letters),Latin,iolo,iol,,
v&#770;a(le),goodbye,Latin,v̂ale,come on,,
M(anio) Aemilio,To Manius Aemilius,Latin,manio aemilio,my enemy,,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,,,,
Samatissa,Samatissa,Latin,samatissa,same,,
"Pan[em? ---]
PVRTARIVM+ 
X","Bread? Porridge, 10",Latin,"panem , pvrtarivm , x","bread, pvrtarivm, x",,
((:casulae frons cui et ad d. et ad sin. palma adiecta est et cuius portam quadrupes petit qui cornibus longis in cervi modum praeditus esse videtur)),"the front of the cabin to whom and to d. and to sin. a palm tree is added, and at the gate of which four legs are asking, who seem to be endowed with long horns in the manner of a deer",Latin,casulae frons cui et ad d. et ad sin. palma adiecta est et cuius portam quadrupes petit qui cornibus longis in cervi modum praeditus esse videtur,"the front of the cabin to whom and to d. and to sin. a palm tree is added, and at the gate of which four legs are asking, who seem to be endowed with long horns in the manner of a deer",,
"Posphorus (:Phosphorus)
hic futuit",phosphorus here,Latin,"phosphorus, hic futuit",phosphorus here,,
"Pompeianis
fel(iciter) feliciter.
Faustin`u´m viginti
rogamus.","of the Pompeians, happily happily, we ask Faustin's twenty",Latin,"pompeianis, feliciter feliciter., faustin`u´m viginti, rogamus.","of the Pompeians, happily happily, we ask Faustin's twenty",,
"Puteolanis feliciter
omnibus Nucherinis
felicia et uncu(m) Pompeianis
Petecusanis","Good luck to the Puteolians, to all the brides, good luck to the Pompeians and Petecusans",Latin,"puteolanis feliciter, omnibus nucherinis, felicia et uncum pompeianis, petecusanis","Good luck to the Puteolians, to all the brides, good luck to the Pompeians and Petecusans",,
Ursi me comib&#803;,May the bears (consume) me,Latin,ursi me comiḅ,the bear loved me,,
"C(aius) Mateius
Abas (:Abascantus?)",Gaius Mateius Abas(cantus?),Latin,"caius mateius, abascantus","Caius Mateius, Abascantus",,
"------
C&#803;e&#803;ac&#803;l&#818;i&#818; &#12296;:vacat&#12297; C
Sex &#12296;:vacat&#12297; C XXV C 
V&#770;&#818;a&#818;l&#818;e&#818;r&#818; &#12296;:vacat&#12297; XXV XXV
S&#818;e&#818;c&#818;[u&#818;]n&#818; &#12296;:vacat&#12297; LXXV LXXV
A&#818;m&#818;o&#818;n&#818; &#12296;:vacat&#12297; L &#12296;:vacat&#12297; XXV
S&#818;i&#818;t&#818;i&#818;o&#818; &#12296;:vacat&#12297; [- - -]
Scava &#12296;:vacat&#12297; L&#818;X&#818; [- - -]
Sedlatus (:Sedulatus) &#12296;:vacat&#12297; [- - -]
Ispanus (:Hispanus) &#12296;:vacat&#12297; [- - -]
Iut&#818;to &#12296;:vacat&#12297; L&#818; [- - -] L&#818; [- - -]","Of Caeclus(?) 100
 Sextus(?) 100 25 100
 Valerius(?) 25 25
 Secundus(?) 75 75
 Ammonius(?) 50 25
 Sitio
 Scava 60
 Sedulatus
 Hispanus
 Iutto 50 50",Latin,", c̣ẹac̣l̲i̲ c, sex c xxv c , v̲̂a̲l̲e̲r̲ xxv xxv, s̲e̲c̲u̲n̲ lxxv lxxv, a̲m̲o̲n̲ l xxv, s̲i̲t̲i̲o̲ , scava l̲x̲ xxv, sedulatus xxv, hispanus xxv, iut̲to l̲ , l̲ .",.,,
"&#12296;:ad perpendiculum&#12297;
&#12296;:textus non legitur&#12297;",(Incomprehensible series of characters),Latin,", ",",",,
Receptus,Receptus,Latin,receptus,received,,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,,,,
"Mened(emerumenus)
&#12296;:vacat&#12297; Mened(emerumenus)
Menedimerume(nus) (:Menedemerumenus)
Menedeme(rumenus)
Menedemer(umenus)
Menedimeru(menus) (:Menedemerumenus)
R",(Variations on a word),Latin,"menedemerumenus, menedemerumenus, menedimerumenus menedemerumenus, menedemerumenus, menedemerumenus, menedimerumenus menedemerumenus, r","menedemerumenus, menedemerumenus, menedemerumenus, menedemerumenus, menedemerumenus, menedemerumenus,",,
Beronce (:Beronice),beronique,Latin,beronice,beronique,,
Hic iudices,(The) judges (were) here,Latin,hic iudices,here the judges,,
"ivenis (:iuvenis)
Mnester v&#770;a(le) LVII XVII 
XXI 
CXXXX ((:navis)) LXVII LXXX","young man, mnester vale lvii xvii, xxi, cxxxx ship lxvii lxxx",Latin,"iuvenis, mnester v̂ale lvii xvii , xxi , cxxxx navis lxvii lxxx","young man, mnester vale lvii xvii, xxi, cxxxx ship lxvii lxxx",,
"Pompeianis Paevoniam (:Paeoniam)
PO
((:figura hominis ad sin.))","A peony(?) for the Pompeians, PO",Latin,"pompeianis paeoniam, po, figura hominis ad sin.","the Pompeian peony, po, the figure of a man to the sin.",,
Fortunata fellat,lucky fellas,Latin,fortunata fellat,lucky fellas,,
Venimus,We came...,Latin,venimus,we came,,
a(nte) d(iem) III K(alendas) Nov(embris),Three days before the Kalends of November,Latin,ante diem iii kalendas novembris,before the 3rd day of November,,
"Miximus in lecto. Fateor, peccavimus&#803;,
hospes. Si dices, 'quare?' Nulla matella fuit.","We peed in the bed. I admit it, we did wrong, host.
If you were to ask, Why? There was no chamber pot.",Latin,"miximus in lecto. fateor, peccavimuṣ,, hospes. si dices, 'quare' nulla matella fuit.","we got mixed up in bed. I confess, I sinned, guest. if you say, 'why' there was no matella.",,
"&#12296;:vacat&#12297;B
Sentius
S","B, Sentius, S",Latin,"b, sentius, s","b, more sensitive, s",,
Non sum no ces (:nocens),I am not guilty,Latin,non sum no nocens,I am not guilty,,
Q(uinti) Hortessi (:Hortensi),fifth gardener,Latin,quinti hortensi,fifth gardener,,
Fullones ul&#803;ulamque cano non arma virumq(ue),"the washermen and all the men, not the men",Latin,fullones uḷulamque cano non arma virumque,"the washermen and all the men, not the men",,
"XVII K(alendas) Feb(ruarias)
IIVICII
Omn(es) XX","17th of February, 2012, all 20",Latin,"xvii kalendas februarias, iivicii, omnes xx","17th of February, 2012, all 20",,
((centuria)) Montani&#770;,The century (unit) of Montanus,Latin,centuria montanî,mountain century,,
"Sabinus
de `q´suino","sabinus, from ``q'suino''",Latin,"sabinus, de `q´suino","sabinus, from ``q'suino''",,
Neptuna&#7735;&#7883;s,Neptune's,Latin,neptunaḷịs,Neptune's,,
N voco,I call,Latin,n voco,I call,,
P&#818;o&#818;mpeìanus,p̲o̲mpeìanus,Latin,p̲o̲mpeìanus,p̲o̲mpeìanus,,
"pdic (:pedicat) Aplonia (:Apollonia) [---]A[---]
bene dat Nonius
futere[---]

","apollonia cypria pedicat,",Latin,"pedicat apollonia cypria,, bene dat nonius, futere,, , ","apollonia cypria pedicat,",,
"&#12296;:in tabella ansata&#12297;
Ex scito
ordinis
primus OR
VI&#923;IANIO [- - -?]",", out of knowledge, of order, first or, viλianius .",Latin,", ex scito, ordinis, primus or, viλianio .",", out of knowledge, of order, first or, viλianius .",,
IIIXCVX,"3, 10, 100, 5, 10",Latin,iiixcvx,iiixcvx,,
"Acti, va (:vale)","Actius, farewell",Latin,"acti, vale",good bye,,
IIIIIIIIIIIIII Ì IIIIIIIIIIIIIIII,"31 (14, tall 1, 16)",Latin,iiiiiiiiiiiiii ì iiiiiiiiiiiiiiii,iiiiiiiiiiii ì iiiiiiiiiiiiiii,,
Nauplius,Nauplius,Latin,nauplius,sailor,,
"MAXIS
&#12296;:vacat&#12297;
M&#803; 
MAXI
MAXIS
&#12296;:proxima stria&#12297; MAXIS","MAXIS (?)
M
MAXI
MAXIS
MAXIS",Latin,"maxis, , ṃ , maxi, maxis, maxis","maxis, , ṃ , maxi, maxi, maxi",,
VCVI,(Incomprehensible series of letters),Latin,vcvi,there,,
"a(nte) d(iem) XI K(alendas) Decembr(es) &#12296;:vacat&#12297; a(ssibus) XV
Epapra (:Epaphra) Acutus Auctus
ad locum duxserunt (:duxerunt)
mulierum Tychen pretium
in singulos a(sses) V f(uit?)
M(arco) Messalla L(ucio) Lentulo co(n)s(ulibus)","11 days before the Kalends of December, Epaphra, Acutus, and Auctus took the woman Tyche to (this?) place for 15 asses. The price was (?) 5 asses each. (Written) in the year when Marcus Messalla and Lucius Lentulus were consuls.",Latin,"ante diem xi kalendas decembres assibus xv, epaphra acutus auctus, ad locum duxerunt, mulierum tychen pretium, in singulos asses v fuit, marco messalla lucio lentulo consulibus","before the 11th day of the 11th of December, the 15th asses, the epaphra sharp increased, they led to the place, the price of the women was tychen, there was 5 asses for each of the asses, marco messalla lucio lentulo to the consuls",,
"Valeri
va(le)
M&#770;A FI
IVS","Bye, Valerius (...other letters here...)",Latin,"valeri, vale, m̂a fi, ivs","valeri, farewell, m̂a fi, iv",,
III IIIIII,3 6,Latin,iii iiiiii,iii iiiiii,,
"Primi[g]enius &#12296;:vacat&#12297; Mystes Communi suo salut&#7865; &#7807;&#7883;disti quo Turnum aequoribus eibat (:ibat) in arm[is]
SOES &#12296;:vacat&#12297; virtutis merces palma[m] pretium gloriae victoriae spem causas",the primeval mystics with their common salutation ṿዋdisto who went in turn with the equines in arms,Latin,"primigenius mystes communi suo salutẹ ṿịdisti quo turnum aequoribus ibat in armis, soes virtutis merces palmam pretium gloriae victoriae spem causas",the primeval mystics with their common salutation ṿዋdisto who went in turn with the equines in arms,,
IIIIIIIIIIIIIII,15,Latin,iiiiiiiiiiiiiii,iiiiiiiiiiiiiii,,
CDFEG&#803;I&#803;I&#803;I&#803; DI&#803; CATVR,(beginning of an alphabet) (ending of a word),Latin,cdfeg̣ịịị dị catvr,cdfeg̣ịịị dị catvr,,
"Acetabula
a(ssibus) II ((semis)) ((scripula?)) II
Acetabela (:acetabula) APTL","plates, plates ii semis scripula ii, plates aptl",Latin,"acetabula, assibus ii semis scripula ii, acetabula aptl","plates, plates ii semis scripula ii, plates aptl",,
Rufini cubiculum s,(This is) the bedroom of Rufinius,Latin,rufini cubiculum s,Rufini's room,,
"E
B",(Individual letters),Latin,"e, b","e, b",,
"Chloe 
&#12296;:vacat&#12297;A",Chloe,Latin,"chloe , a","Chloe, a",,
"DC NIOIVIDII
MAVINIM&#770;I SYH&#803;+CVS&#803;",(Incomprehensible series of letters),Latin,"dc nioividii, mavinim̂i syḥcvṣ","dc nioividii, mavinim̂i syḥcvṣ",,
"&#12296;:ad perpendiculum&#12297;
Liberalis",Liberalis,Latin,", liberalis",", liberal",,
"Murtis (:Myrtis) bene
felas (:fellas)","Myrtles are fine, fellas",Latin,"myrtis bene, fellas","Myrtles are fine, fellas",,
"Amicus ave 
Umbricia","Friend, greetings, Umbricia",Latin,"amicus ave , umbricia","the friend of the bird, the umbrella",,
Euplus Euplus,"Euplus, Euplus",Latin,euplus euplus,rich rich,,
"&#12296;:stria 10&#12297;
QV   

&#12296;:striae 12-13&#12297;
QVAD
",Wh? Whaat?,Latin,", qv  , , , qvad, ",", qv , , , what",,
"&#12296;:ad perpendiculum&#12297;
L(ucius) An[to]nius",Lucius Antonius,Latin,", lucius antonius",", Lucius Antonius",,
"Sutores mavir[--]um&#803; quem 
Ca[se]lli&#768;us Anthah[--]m[--]m","tailors maviruṃ whom, casellìus anthahmm",Latin,"sutores maviruṃ quem , casellìus anthahmm","tailors maviruṃ whom, casellìus anthahmm",,
DV+M,(Series of letters),Latin,dvm,dvm,,
"&#12296;:ad perpendiculum&#12297;
Q(uintus) Antonius Magister","Quintus Antonius, teacher",Latin,", quintus antonius magister",", the fifth teacher of Antonius",,
"[iamque omn]&#7865;s veicinei (:vicini) incendia participantur
[sei (:si) facia]m flammam tradere utei (:uti) liceat
","and now all the neighbors take part in the burning, if I make it possible to hand over the flame,",Latin,"iamque omnẹs vicini incendia participantur, si faciam flammam tradere uti liceat, ","and now all the neighbors take part in the burning, if I make it possible to hand over the flame,",,
"&#12296;:ad perpendiculum&#12297;
Popiu(s)",Popiu(s) (short for Popidius?),Latin,", popius",", more",,
Augutus (:Augustus),Augu(s)tus,Latin,augustus,August,,
Acti CA C+ [- - -?],acti ca c.,Latin,acti ca c .,acti ca c.,,
Stel&#803;io (:Stellio),Stellio,Latin,steḷstellio,steḷstellio,,
Sall&#803;idus (:Calidius?) Ner(onianus) III,salḷcalidius neronianus iii,Latin,salḷcalidius neronianus iii,salḷcalidius neronianus iii,,
victrix victoria v&#770;a(le),victorious victory,Latin,victrix victoria v̂ale,victorious victory,,
"L(ucius)
Com(inius?)",L(ucius?) Com(inius?),Latin,"lucius, cominius","lighter, closer",,
SE,SE,Latin,se,himself,,
"Macer
C(aius) Popillius","Macer, Gaius Popillius",Latin,"macer, caius popillius","leaner, more popular",,
"Eucapa puer · va(le)
","Farewell, young (lit. boy) Eucapa",Latin,"eucapa puer · vale, ",eucapa boy · goodbye,,
Iarin[us],iarinus,Latin,iarinus,iarinus,,
Pier,Pier (a name),Latin,pier,pier,,
Fel(iciter) Faustio,May things go happily for Faustius,Latin,feliciter faustio,luckily,,
"&#12296;:stria 16&#12297;
C 
S
A

&#12296;:stria 17&#12297;
ER",(Individual letters),Latin,", c , s, a, , , er",", c , s, a, , er",,
"socius
Ve&#7771;viciu(s)
SAV(?)","Ally, (...other letters here...)",Latin,"socius, veṛvicius, sav","socius, veṛvicius, sav",,
"((denarius)) XIIII A(ssibus) [- - -]
debes  
((denarius)) XLVII  XVI","113 denarius for three asses, you must, 47 x 16 denarius",Latin,"denarius xiiii assibus tribus, debes , denarius xlvii xvi","113 denarius for three asses, you must, 47 x 16 denarius",,
Urs(us),"Bear (or the beginning of a name, or just initials)",Latin,ursus,bear,,
"Provi=
den&#770;tes
",Thoughtful (ones),Latin,"provi=, den̂tes, ","prove=, teeth,",,
"Aug(ustalis?) Pier(us) C[ela?]dus
Papiri &#12296;:servum&#12297; Amandu[m---]um
medicavit","The Augustalis(?), Pier C(???)dus, cured Amandus (the slave?) of Papirius",Latin,"augustalis pierus celadus, papiri amandumum, medicavit","Augustus Pius hid, the papyri to be loved, he medicated",,
"Pitamnus
Marc LI
","Pitamnus, Marc 51? (or Pitamnus, freedman of Marcius)",Latin,"pitamnus, marc li, ","pitamnus, marc li,",,
"nec Phrygas (:Phryges)
extabant. Quid
agit apex
dester (:dexter)",Nor were the Phyrgians (visible? prominent? existing?). How's your right (apex?) doing?,Latin,"nec phryges, extabant. quid, agit apex, dexter","nor the phrygians, they were extant. what, the apex, the right, acts",,
"III nonas Augu(sti)
Calc[hi]mi oc
[ete]rate
in
","3 ninths of August, calchimi oc, forever, in",Latin,"iii nonas augusti, calchimi oc, eterate, in, ","3 ninths of August, calchimi oc, forever, in",,
"Dorcas cum 
Sollemine (:Sollemne)
hic",Dorcas was here with Sollemnis,Latin,"dorcas cum , sollemne, hic","Dorcas with , solemnly, here",,
[- - -]&#7807;i non paterus (:pateris) et nos futuere be[ne?---],"But you don't tolerate it, and it's good to tease us",Latin,sedṿi non pateris et nos futuere bene,"But you don't tolerate it, and it's good to tease us",,
"VI K(alendas) Fe(lix?)
VII S I C I I I I","Six days before the Kalends Fe(lix?)
7 thus(?) 4(?)",Latin,"vi kalendas felix, vii s i c i i i i","vii Kalendas felic, vii s i c i i i i i",,
IRVAT (:irrumat?),(incomprehensible series of letters),Latin,irrumat,rushes in,,
can&#770;t(icuere),They were silent (conticuere?),Latin,can̂ticuere,to sing,,
"Iusto feliciter et
&#12296;:vacat&#12297; Vetito (:Betito?) et MMVNI[---]
&#12296;:vacat&#12297; XIII K (:Kalendas) Dec&#949;mm (:Decembris) [---]
LICARIO filio &#12296;:vacat&#12297; [---] &#949;AVG
&#12296;:vacat&#12297; CATETVM++
&#12296;:vacat&#12297; I CNIAS","Good luck to Iustus and
forbidden and (incomprehensible series of letters)
13 days before the Kalends of December (=Nov. 18th)
for Licarius, the son (incomprehensible series of letters)
(incromprehensible series of letters)
(incomprehensible series of letters)",Latin,"iusto feliciter et, betito et mmvni, xiii kalendas decembris constantinopoli, licario filio , εavg, catetvm, i cnias","just happily and, blessed and mmvni, the 13th day of December of Constantinople, to the son of Licarius, εavg, catetvm, i cnias",,
Quintinus,quintine,Latin,quintinus,quintine,,
Phosphor(us) tuis cores (:choreis) ASM[- - -],Phosphorus to your chores asm.,Latin,phosphorus tuis choreis asm.,Phosphorus to your chores asm.,,
Victorie · A(---) · V(---),victory · a · v,Latin,victorie · a · v,victory · a · v,,
"irrumo set (:sed) v+++K+++as
","I rush in, but",Latin,"irrumo sed vkas, ","I rush in, but",,
Corusticus,Corusticus,Latin,corusticus,Corusticus,,
Hyginus cum M&#7865;&#7779;sì&#7885; hic,hyginus with mêṣsìọ here,Latin,hyginus cum mẹṣsìọ hic,hyginus with mêṣsìọ here,,
"Numeru(&#7779;)
CENTRV+ 
D(ecimus) Iulius 
T(h)r&#7841;[s]o(?)
Sacenio 
loco (?)
habeo 
P(ublius) +Iuilius
Trif&#803;olio 
C(ai) Fla&#770;vi 
libra(ri) 
C(ai) Flav(i) 
librari 
dom&#770;us
T(iti) Loli (:Lolli)
&#7841;ger 
emtu (:emptus) IIXS",A number of units (centuries). Decimus Iulius (...list of names follows...). Land was bought - 8 1/2.,Latin,"numeruṣ, centrv , decimus iulius , thrạso, sacenio , loco , habeo , publius iuilius, trif̣olio , cai flâvi , librari , cai flavi , librari , dom̂us, titi lolli, ạger , emptus iixs","numeruṣ, centrv, decimus julius, thạso, sacenio, loco, haeo, publius juilius, trif̣olio, cai flâvi, librari, cai flavi, librari, dom̂us, titi lolli, ạger, bought iixs",,
"Felices homines [+1?+] va(lete)
felices","happy people 1 bye, happy",Latin,"felices homines 1 valete, felices","happy people 1 bye, happy",,
"Victor cum Attine
hic fuit","the winner, indeed, was here",Latin,"victor cum attine, hic fuit","the winner, indeed, was here",,
IIIIIIIIIIIIIIIIII,18,Latin,iiiiiiiiiiiiiiiiii,iiiiiiiiiiiiiiiiii,,
"&#12296;:stria 7&#12297;
X

&#12296;:stria 12&#12297;
X 
R

&#12296;:stria 17&#12297;
S",(Individual letters),Latin,", x, , , x , r, , , s",", x, , , x , r, , s",,
[---?] A&#818;urelius,Aurelius,Latin,. a̲urelius,. a̲urelius,,
Menedemerumenus,menedemerumenus,Latin,menedemerumenus,menedemerumenus,,
"Ceio
et mul=
tis pupa
venust=
a",The girl was charming to Ceius and many (others),Latin,"ceio, et mul=, tis pupa, venust=, a","ceio, and mul=, tis doll, venust=, a",,
Hermulus,Hermulus,Latin,hermulus,hermulus,,
Fyl&#803;l&#803;is (:Phyllis) felat&#803; (:fellat),Fyllis (for Phyllis?) performs fellatio,Latin,fyḷḷphyllis felaṭ fellat,fyḷḷphyllis felaṭ fellat,,
P&#7771;&#7883;&#7747;a,Prima,Latin,pṛịṃa,pṛịṃa,,
"Phoebus
bonus futor (:fututor)

","Phoebus, good joker,",Latin,"phoebus, bonus fututor, , ","Phoebus, good joker,",,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,,,,
"Vit
Vitalio baliat (:valeat?) car (:carus?) est.
Musicus","May Vitalio be well. He is 
dear. Musicus.",Latin,"vit, vitalio valeat carus est., musicus","life is worth living, the musician is dear",,
[---? mira]bile signum Laurentis ru[ris?],a wonderful sign of the countryside,Latin, mirabile signum laurentis ruris,a wonderful sign of the countryside,,
Aufidius hic fuit va(le),It was a bolder farewell,Latin,aufidius hic fuit vale,It was a bolder farewell,,
COR  III,COR 3,Latin,cor iii,heart iii,,
Felicla (:Felicula) virna (:verna) a(ssibus) II,"Felicula, home-born slave, (for) 2 asses",Latin,felicula verna assibus ii,springtime happiness,,
"ROMA
OLIM
MILO
AMOR","Rome, once upon a time, sweetly, love",Latin,"roma, olim, milo, amor","Rome, once upon a time, sweetly, love",,
"Tiopilus (:Theophilus) canis
cunnu (:cunnum) lingere no=
li puellis in muro","Theophilus the dog did not lick his cunt, but the girls on the wall",Latin,"theophilus canis, cunnum lingere no=, li puellis in muro","Theophilus the dog did not lick his cunt, but the girls on the wall",,
"Iucundus fututor 


",nice joker,Latin,"iucundus fututor , , , ",nice joker,,
"M
TB",M  TB,Latin,"m, tb","m, tb",,
"Quartio
Stratus
VEN
Qu++nitu 
M(arcus) Liciniu (:Licinius) 
Saturninus","Quartio, Stratus, VEN, (...other letters here...), Marcus Linciniu(s), Saturninus",Latin,"quartio, stratus, ven, qunitu , marcus licinius , saturninus","quartio, stratus, ven, quinitu, Marcus Licinius, Saturninus",,
"Rhenus
Rhinus (:Rhenus)
","Rhine
Rhine",Latin,"rhenus, rhenus, ","rhine, rhine",,
Mnester v&#770;a(le),mnester vale,Latin,mnester v̂ale,mnester vale,,
Lucil(ius),Lucil(ius),Latin,lucilius,brighter,,
pedico V&#803;T&#803;R&#803; IIII&#803;V,I bugger (incomprehensible series of letters),Latin,pedico ṿṭṛ iiiịv,foot ṿṭṛ iiiịv,,
Lucanica IIII,Lucanica iii,Latin,lucanica iiii,Lucanica iii,,
[- - -]X&#803;XXCCCCCXXVIXXV&#803;C LXXVL S DD CCC,425 25 175 250 800,Latin,dcx̣xxcccccxxvixxṿc lxxvl s dd ccc,dcx̣xxcccccxxvixxṿc lxxvl s dd ccc,,
"P(ublius) Siculus
Hermia",Publius Siculus Hermia,Latin,"publius siculus, hermia","more public, Hermia",,
Menedemeru(menus),menedemerumenus,Latin,menedemerumenus,menedemerumenus,,
"Myrtale
Cassacos
fellas","myrtle, cassacs, fellas",Latin,"myrtale, cassacos, fellas","myrtle, cassacs, fellas",,
"Ratio M(arci) Ugoni
pr(idie) (No)nas",Account of Marcus Ugonius - the day before the Nones,Latin,"ratio marci ugoni, pridie nonas","the account of Marcus Ugoni, the previous day at nine o'clock",,
"Domino V VI IIII
Domino V
Severo III
","To the master - 5, 6, 4
To the master - 5
To Severus - 3",Latin,"domino v vi iiii, domino v, severo iii, ","domino v vi iii, domino v, severo iii,",,
"XXXIIIIIIIIIIIIIII
III

&#12296;:pone hanc&#12297;
XXXXXIII
[--]IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII

&#12296;:inferius&#12297;
III&#769;IIIIIIIII&#769;I&#769;IIIIIIIIIIII &#12296;:vacat&#12297;IIIIIII

&#12296;:infra hanc&#12297;
XX XXXX&#803;
IIIIIIIIIIII","45
3

53
36

25  7

20 40
12",Latin,"xxxiiiiiiiiiiiiiii, iii, , , xxxxxiii, iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, , , iiíiiiiiiiiííiiiiiiiiiiii iiiiiii, , , xx xxxx̣, iiiiiiiiiiii","xxxiiiiiiiiiiiiiii, iii, , , xxxxxiii, iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, , , iiíiiiiiiiiiííiiiiiiiiiiii iiiiiii, , , xx xxxx̣, iiiiiiiiiiii",,
"L(ucius) Stati&#7909;s
Modestus 
Q(uintus) Postûmius","Lucius Statius, Modestus, Quintus Postumius (or Lucius Statius Modestus, Quintus Postumius)",Latin,"lucius statiụs, modestus , quintus postûmius","Light, modest, fifth posthumous",,
"Haec fuerat quaesita dies innoxia famae
i[-]dicio sem
&#12296;:vacat&#12297;
&#12296;:vacat&#12297; pauca","these days had been sought for innocuous fame, I add, a few",Latin,"haec fuerat quaesita dies innoxia famae, idicio sem, , pauca","these days had been sought for innocuous fame, I add, a few",,
Fulgur [conditum ---?],Struck by lightning,Latin,fulgur conditum ,seasoned lightning,,
"M
Q
Q
Q",(Individual letters),Latin,"m, q, q, q","m, q, q, q",,
"Mille meae
Siculis errant 
",My 1000 (lambs - not mentioned here) wander in the Sicilian...,Latin,"mille meae, siculis errant , ",My thousands are wandering,,
"&#12296;:vacat&#12297;&#7746;o&#7693;(estus)
Modestus
Modestus
Musae
suae","Modestus, Modestus, Modestus, to his Muse",Latin,"ṃoḍestus, modestus, modestus, musae, suae","ṃoḍestus, modest, modest, muse, his own",,
Siiccia (:Siccia) X,(incomprehensible series of characters),Latin,siccia x,dry x,,
"RO++
R O
R
R SS
",(Series of letters),Latin,"ro, r o, r, r ss, ","ro, r o, r, r ss,",,
"O HLO
âv(?)","Hi, Chloe(?)",Latin,"o hlo, âv","o hlo, âv",,
"Matris 
Heleusinae (:Eleusinae)",Of the Eleusinian mother,Latin,"matris , eleusinae","mother, Eleusis",,
"M&#770;ân&#770;dât&#770;us 
M&#770;ân&#770;dat&#770;us
m&#770;ûnûs
<:vacat>
&#7840;
M 
M
","Mandatus, Mandatus, games?, A, M, M",Latin,"m̂ân̂dât̂us , m̂ân̂dat̂us, m̂ûnûs, , ạ, m , m, ","m̂ân̂dât̂us , m̂ân̂dat̂us, m̂ûnûs, , ạ, m , m,",,
"XVII K(alendas) Iul(ias)
Hermeros
cum Phile=
tero et Caphi=
so hic futu=
erunt","On the 17th of July, Hermeros, with Phile=, Tero and Caphi=, so here they will be futu=",Latin,"xvii kalendas iulias, hermeros, cum phile=, tero et caphi=, so hic futu=, erunt","On the 17th of July, Hermeros, with Phile=, Tero and Caphi=, so here they will be futu=",,
