content,apparatus,sourceFindSpot,contentTranslation,caption,writingStyleInEnglish,languageInEnglish,cil,citation,preciseLocation,italianPropertyName,numberOfGraffiti,propertyNumber,insula.shortName,insula.fullName,insula.city.name,insula.city.pleiadesId,englishPropertyName,additionalEntrances,propertyName,descriptionInEnglish,descriptionInLatin
"Myrtale
Cassacos
fellas","Textus secundum (1), aliter (4); mensurae ex apographo apud (1). <br>v. 2 Cassacos ut cognomen (1); vassatos, Myrtale, you suck well hung men (4).<br>Varone (5) hanc inscriptionem frusta quaesivit.","Pompei (Napoli) VII.12.18-20, Lupanare, cella d",,,Graffito/incised,Latin,2268,"AGP-EDR151037, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151037&gt; [accessed: 27 Mar 2023]",,Lupanare,137,18-20,VII.12,Insula VII.12,Pompeii,433032,,,Lupanare,,
"Ratio M(arci) Ugoni
pr(idie) (No)nas","Textus et mensurae secundum (2); periit (3).  Contulerunt Sypniewski et Benefiel (AGP); vestigia in tectorio corroso adhuc a. 2019 extant.<br>v. 2: PR(IDIE) N(ON)AS (1)<br>Infra EDR167681 (M&#770;ân&#770;dât&#770;us / M&#770;ân&#770;dat&#770;us / m&#770;ûnûs / &#7840; / M / M)<br>Prope EDR167687, EDR167688 (stria 18)<br>In eadem columna EDR167680, EDR167541","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXVII, stria 17",Account of Marcus Ugonius - the day before the Nones,Graffito mentioning a date,Graffito/incised,Latin,8706b,"AGP-EDR167685, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167685&gt; [accessed: 27 Mar 2023]","col. LXXXVII, stria 17",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Domino V VI IIII
Domino V
Severo III
","Textus et mensura secundum (3).<br>v.1-3: DOMNO V&#773; V / DOMINO / SEVERO V (1).<br>Titulus est scriptus infra et ad dextram EDR175237.<br>Quattuor tituli (EDR175215, EDR175216, EDR175237, EDR175238) in hoc cubicolo inventi sunt. Omnes sunt indices aut ciborum aut personarum sunt.","Pompei (Napoli), Regio VIII.2.30","To the master - 5, 6, 4
To the master - 5
To Severus - 3",Graffito mentioning amounts (of money? or items?),Graffito/incised,Latin,4891,"AGP-EDR175238, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR175238&gt; [accessed: 27 Mar 2023]",,(Unnamed),5,30,VIII.2,Insula VIII.2,Pompeii,433032,,29,(Unnamed),,
"XXXIIIIIIIIIIIIIII
III

&#12296;:pone hanc&#12297;
XXXXXIII
[--]IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII

&#12296;:inferius&#12297;
III&#769;IIIIIIIII&#769;I&#769;IIIIIIIIIIII &#12296;:vacat&#12297;IIIIIII

&#12296;:infra hanc&#12297;
XX XXXX&#803;
IIIIIIIIIIII",Textus secundum (1) (2)<br>Pars ultima datur (2).<br>Alii eiusmodi numeri (EDR175962) in eadem taberna extant (1).,"Pompei (Napoli), Regio VIII.4.12","45
3

53
36

25  7

20 40
12",Tally marks,Graffito/incised,Latin,2074,"AGP-EDR175961, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR175961&gt; [accessed: 27 Mar 2023]",,,2,12,VIII.4,Insula VIII.4,Pompeii,433032,,13,,,
"L(ucius) Stati&#7909;s
Modestus 
Q(uintus) Postûmius","Textus secundum (2), mensurae secundum (4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>v. 2: MODESTYS (2)<br>v. 3: Postumius invenitur Pompeiis ad EDR074683 et EDR147651, cf. Quintus Postumius Modestus (Stabiae) ad EDR111986.<br>Prope EDR167673 (stria 13), EDR167674 et EDR167679 (stria 14), EDR167699 (striae 15-17), EDR167702 (stria 17)<br>In eadem columna EDR167672 (stria 7)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XCIV, stria 15","Lucius Statius, Modestus, Quintus Postumius (or Lucius Statius Modestus, Quintus Postumius)",List of names,Graffito/incised,Latin,8733,"AGP-EDR167701, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167701&gt; [accessed: 27 Mar 2023]","col. XCIV, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Haec fuerat quaesita dies innoxia famae
i[-]dicio sem
&#12296;:vacat&#12297;
&#12296;:vacat&#12297; pauca","Textus secundum (3)<br>v. 2: IUDICIO aut INDICIO? (3)<br>v. 2: finis verbi SEMPER numquam scriptum est<br>v. 4: alia manu scriptus est<br>Tantum versus 1 datur (1)-(2)<br>ha tutta l'aria di un verso classico, ovidiano forse, o vergiliano (1)<br><br>vv.2-4: lecti sunt ut disiuncti tituli apud (1)<br>v. 2: [de]LICIOSIUM (?) (1); v. 4: PANA (1)","Pompei (Napoli), Regio V.4.c-d, Facade",,,Graffito/incised,Latin,6761,"AGP-EDR071918, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR071918&gt; [accessed: 27 Mar 2023]","V.4.c-d, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
Fulgur [conditum ---?],"Textus secundum (2), mensurae secundum (1).<br>In tegulae fragmento fulguris conditi locum ostendente scalpro incisus (1)","Pompei (Napoli), Regio I.8.17, Casa dei Quattro Stili, cortile, presso un bidental",Struck by lightning,Marker,chisel,Latin,8223,"AGP-EDR073610, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR073610&gt; [accessed: 27 Mar 2023]",,Casa dei Quattro Stili,31,17,I.8,Insula I.8,Pompeii,433032,"House of the Four Styles, House of L. V. P.",11,Casa dei Quattro Stili,,
"M
Q
Q
Q","Textus secundum (1). Periit (4). Contulerunt Sypniewski et Benefiel (AGP); vestigia in tectorio corroso adhuc a. 2019 extant.<br>vv. 1-4: incolonnano lettere singolari incomprensibili (1)<br>Cf. EDR167871 (Prima / Q / Q / Q) in columna CVI campi ad amphitheatrum. <br>Prope EDR168040 (stria 16)<br>In eadem columna EDR168037, EDR168038, EDR168039","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XCIII, stria 17",(Individual letters),Graffito,Graffito/incised,Latin,8731,"AGP-EDR168041, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168041&gt; [accessed: 27 Mar 2023]","col. XCIII, stria 17",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Mille meae
Siculis errant 
","Textus secundum (2). Mensura altitudinis secundum (1), aliae mensurae secundum (2). Periit (6). Contulerunt Sypniewski et Benefiel (AGP) a. 2019. Lapsu tectorii non invenitur.<br>v. 1-2: initium versus Verg. Ecl. 2.21 (mille meae Siculis errant in montibus agnae)<br>De eodem carmine Pompeiis, vide EDR160232<br>Infra EDR127140, EDR127231. Hic titulus in eodem loco ut EDR127234 scriptus est, qui ad perpendiculum scriptus erat.<br>Permulti tituli in eadem columna inveniuntur: EDR127816, EDR127817, EDR127818 (stria 5); EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823,  EDR073638 (stria 10);  EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR167628 (stria 16-17)<br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXI, stria 15",My 1000 (lambs - not mentioned here) wander in the Sicilian...,Quotation from Vergil,Graffito/incised,Latin,8625c,"AGP-EDR127233, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127233&gt; [accessed: 27 Mar 2023]","col. LXI, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"&#12296;:vacat&#12297;&#7746;o&#7693;(estus)
Modestus
Modestus
Musae
suae","Textus et mensurae secundum (2). Periit (3), sed contulerunt H. Sypniewski et R. Benefiel (AGP) a. 2019 et vestigia tectorio corroso adhuc extant.<br>v. 2-5: II pro littera E scripta<br>v. 5: SVAE (salutem) (2)<br>Nomen MODESTVS in campo ad amphitheatrum etiam in columna XCIV invenitur: cf. EDR127299 (L(ucius) Stati&#7909;s / Modestus / Q(uintus) Postûmius)<br>Prope EDR167629 (stria 16)<br>In eadem columna EDR127810 (stria 4); EDR167500 (stria 6); EDR127811 (stria 8); EDR127813 (stria 12); EDR128097 (striae 8-9)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXIV, stria 15","Modestus, Modestus, Modestus, to his Muse",Greetings from Modestus?,Graffito/incised,Latin,8638,"AGP-EDR128098, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128098&gt; [accessed: 27 Mar 2023]","col. LXIV, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Siiccia (:Siccia) X,"Textus secundum (2); mensurae ex apographo apud (2).<br>Contulerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc abraso, periit (3).  <br>v. 1: SECCIA pro SICCIA (1), SIICCIA pro SICCIA (2)<br>In eadem columna EDR167627, EDR127975, EDR127980, EDR167476, EDR127971, EDR127981, EDR127982, EDR167586","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXII, stria 6",(incomprehensible series of characters),Series of characters,Graffito/incised,Latin,8586a,"AGP-EDR127973, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127973&gt; [accessed: 27 Mar 2023]","col. XXII, stria 6",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"RO++
R O
R
R SS
","Textus et mensurae secundum (2), periit (3)<br>Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br><br>v.1: Rotun(dus) (1)(2)<br>In eadem stria et eadem manu EDR127420 et  EDR127422<br>In eadem columna: EDR128737, EDR167626, EDR127193, EDR167661, EDR127410, EDR127188, EDR175186, EDR127412, EDR127416, EDR127420, EDR127422","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XX, stria 15",(Series of letters),Series of Letters,Graffito/incised,Latin,8580a,"AGP-EDR127417, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127417&gt; [accessed: 27 Mar 2023]","col. XX, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"O HLO
âv(?)","Textus secundum (2); mensurae ex apograpo apud (2). Periit (3). Contulerunt Sypniewski et Benefiel (AGP) ad apographum apud (3). <br>v. 1: O HLO = CHLO(E)? Prima littera O vel C cum linea extranea. <br>vv. 1-2: CHLOE / VA (1) sed lectio dubia est.<br><br>Nomen Chloe sexies in campo ad amphitheatrum invenitur: col. XXXI (EDR127423), col. LXI (EDR127817), col. LXII in tribus striis contiguis (4-6) et in eadem altitudine (EDR127428, EDR128116, EDR128716), col. LXIII (EDR127368).  <br>Chloe erat actor (3),(5) aut meretrix (4),(6). <br>Chloe cum Actio Aniceto (alibi dominus scaenicorum appellatur) in Regio VII.6.35 (CIL 04, 01646, et add. p. 210) nominatur (3). <br><br>In eadem stria EDR129116, EDR127145, EDR127242 (alterae salutationes Chloe, manibus variis)<br>In eadem columna EDR127428 (stria 4); EDR128118, EDR127155 (stria 6), EDR127151 (s<br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXII, stria 5","Hi, Chloe(?)",Greetings,Graffito/incised,Latin,8626c,"AGP-EDR128117, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128117&gt; [accessed: 27 Mar 2023]","col. LXII, stria 5",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Matris 
Heleusinae (:Eleusinae)","Textus secundum (2), mensurae secundum (4). Contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Exigua vestigia adhuc videntur a. 2019.<br>v. 1: verbum ELEUSINAE cum aspiratione ut HELEUSINAE scriptus est.<br><br>Cf. Verg. Georg. 1.163: Tardaque Eleusinae matris volentia plaustra.<br>Idem textus in altero titulo in Campo ad amphitheatrum, columna XVII, invenitur ad EDR128779.<br><br>Permulti tituli in hac columna, multi quorum imagines sunt, inveniuntur.<br>Tituli in hac columna: EDR127187 (stria 4); EDR127426 (hic titulus, stria 6); EDR127185, EDR173705 et EDR168071 (stria 11); EDR168073, EDR173785 et EDR168106, (stria 12); EDR168070 et EDR168077 (stria 18)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXXIII, stria 6",Of the Eleusinian mother,Graffito,Graffito/incised,Latin,8610,"AGP-EDR127426, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127426&gt; [accessed: 27 Mar 2023]","col. XXXIII, stria 6",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"M&#770;ân&#770;dât&#770;us 
M&#770;ân&#770;dat&#770;us
m&#770;ûnûs
<:vacat>
&#7840;
M 
M
","Textus et mensurae secundum (4). Contulerunt Benefiel et Sypniewski (AGP) a. 2019; emendaverunt ad apographum apud (2). <br>vv. 1-7: ab una et eadem manu scripta (2), (4)<br>vv. 5-7: A / M / M (2)<br>v. 7: MA in nexu? (4)<br>Supra EDR167685 (Ratio M(arci) Ugoni / pr(idie) (No)nas)<br>Prope EDR167687, EDR167688 (stria 18)<br>In eadem columna EDR167680, EDR167541","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXVII, stria 17","Mandatus, Mandatus, games?, A, M, M",Graffito naming Mandatus,Graffito/incised,Latin,8706a,"AGP-EDR167681, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167681&gt; [accessed: 27 Mar 2023]","col. LXXXVII, stria 17",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"XVII K(alendas) Iul(ias)
Hermeros
cum Phile=
tero et Caphi=
so hic futu=
erunt","Textus secundum (1); scriptus supra CIL 04, 02173.<br>Hic titulus exstat tantum partim (5).","Pompei (Napoli) VII.12.18-20, Lupanare, cella f",,,Graffito/incised,Latin,2192,"AGP-EDR146123, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR146123&gt; [accessed: 27 Mar 2023]",,Lupanare,137,18-20,VII.12,Insula VII.12,Pompeii,433032,,,Lupanare,,
Euce (:Euche) is(sa) (:ipsa),"Textus secundum (3).<br>v. 1: EVCE, i.e. Eu[g]e (1). <br>II scriptum pro littera E.<br>In eodem pariete ut EDR168753 et EDR168754, in quibus verbum ISSA etiam videtur.<br>Sub EDR168756.","Pompei (Napoli), Regio V.1.7, Casa del Torello di Bronzo",,,Graffito/incised,Latin,1591,"AGP-EDR168755, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168755&gt; [accessed: 27 Mar 2023]",,Casa del Toro,10,7,V.1,Insula V.1,Pompeii,433032,,"3,6,9",Casa del Torello di Bronzo,,
"&#12296;:stria 11&#12297;
((signum))

&#12296;:stria 13&#12297;
V 

&#12296;:stria 14&#12297;
M","Textus et mensurae infra secundum (4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Mensurae<br>stria 11: alt.: 5,9; lat.: 7.3<br>stria 13: alt.: 7,6; lat.: 6,1<br>stria 14: alt.: 7,4; lat.: 4,4<br>stria 11: * (1), * ( = denarius?) (2), i.e. littera X cum linea verticali, sed vere solum inferior pars incisus est: &#10842; (4). Imago huius tituli apud (3) inversa est.<br>stria 13: Littera V non certa est, vere similis litterae Y cum linea diagonali. (4)<br>stria 14: Leviter incisus est, levius multo duobus litteris in stria 11 et 13.  (4)<br>In eadem columna EDR128761 (stria 14), EDR128762 (stria 14)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XIII, stria 11, 13, 14",(Individual letters),Graffito,Graffito/incised,Latin,8545,"AGP-EDR128760, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128760&gt; [accessed: 27 Mar 2023]","col. XIII, stria 11, 13, 14",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Dorcas
P&#818;r&#818;i&#818;m&#818;a&#818;","Textus secundum (2). Contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Vestigia nominis DORCAS sed non nominis PRIMA nunc exstant.<br>vv. 1-2: Duo nomina a manibus diversis scribi videntur; v. 1 (DORCAS) litteris maioribus quam v. 2 (PRIMA).<br>Nomen DORCAS ter in hac columna videtur, cf. etiam EDR167870 et EDR167872.<br>Mensurae v. 1: alt.: 2,5; lat.: 4,3; litt. alt.: 0,6-2,6 (4)<br><br>Permulti tituli crebri in quinque striis eiusdem columnae inveniuntur: (stria 3) EDR160313; (stria 4) EDR167731, EDR167732, EDR167733; (stria 5) EDR167867, EDR167868, EDR167869, EDR167870, EDR167871; (stria 6) EDR167872, hic titulus, EDR167874, EDR167875; (stria 7) EDR167876, EDR167709, EDR168237<br>In eadem columna EDR167879, EDR167880, EDR167881","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. CVI, stria 6","Dorcas, Prima",Graffito naming Dorcas and Prima,Graffito/incised,Latin,8771b,"AGP-EDR167873, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167873&gt; [accessed: 27 Mar 2023]","col. CVI, stria 6",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"((:instrumentum gladiatorum, galea))

S++
sumit
AIVNTI  CV

((:instrumentum gladiatorum, thorax)) 
","Textus secundum (4).  Periit (3), sed contulerunt Sypniewski et Benefiel (AGP) et tantum vestigia in tectorio corroso adhuc videntur a. 2019. <br>Litteris minutis (2)<br>v. 1: SVV(M) (1); suu(m?) [munus] vel [instrumentum]? (2)<br>v. 3: ALVNT CV (??) (1), ALVNTI(us?) vel Acunti(us?) (2)<br>Imago descripta sic: Distribuite fra gli svolazzi del'elmo piumato e lo schematico busto di un gladiatore a sinistra sono le linee capillari di lezione abbastanza sicura (1), inter galeae cristam et thoracem gladiatoris stantis leviter [verba inscripta sunt] (2)<br>In eadem columna EDR128284 (stria 13), EDR128285 et EDR167615 (stria 16), EDR127849 (stria 17)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. IV, stria 17",,Drawing of gladiator equipment,Graffito/incised,Latin,8528,"AGP-EDR127849, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127849&gt; [accessed: 27 Mar 2023]","col. IV, stria 17",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,"Gladiator helmet, (text written in between), gladiator body armor","((:instrumentum gladiatorum, galea)) suu(m) sumit Alunti(us?) cu(m?) ((:instrumentum gladiatorum, thorax))"
con[ti]quere (:conticuere) omn(es),"Textus et mensura secundum (1), periit (6)<br>v. 1: CON[TI]QUERE pro CONTICUERE <br>Initio versus Verg. Aen. II.1<br>De eodem carmine, vide EDR159667, EDR151447, EDR148511, EDR159669, EDR159670, EDR159671, EDR159672, EDR159673, EDR159675, EDR159677, EDR159678, EDR159680, EDR159681, EDR159685, EDR159686<br>","Pompei (Napoli), Casa dei Quattro Stili (I.8.17)",All fell silent...,Quotation of literature,charcoal,Latin,8222,"AGP-EDR125001, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR125001&gt; [accessed: 27 Mar 2023]",,Casa dei Quattro Stili,31,17,I.8,Insula I.8,Pompeii,433032,"House of the Four Styles, House of L. V. P.",11,Casa dei Quattro Stili,,
Venimus hoc (:huc) cupidi. Scribitt (:scribit) Cornelius Martialis,"Textus secundum (1)-(12)<br>Tantum reliquiae exstant (11)<br>v. 1: II pro littera E scriptum<br>De aliis exemplis huius carminis, vide EDR151415, EDR159410, EDR159411, EDR159559, EDR159381, EDR159382, EDR159558, EDR159408, EDR153487, EDR159413, EDR159522","Pompei (Napoli), Regio III.5.2-3, facade",We came here desiring...,Poetic graffito,Graffito/incised,Latin,8891,"AGP-EDR159412, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR159412&gt; [accessed: 27 Mar 2023]","III.5.2-3, facade",,0,0,Unknown,,Pompeii,,,,Not found,,
Crescens,"Textus et mensurae secundum (2).<br>II est scriptum bis pro littera E secundum (2).<br>Locus inventionis: VIII.2.23 (2), VIII.2.17 (3) (4). Totum aedificium, Terme del Sarno, continet VIII.2.17-23 et multos ingressus habet. Hic titulus in ambulacro inferiore inventus est.","Pompei (Napoli), Regio VIII.2.17-23, Terme del Sarno",Crescens,Graffito naming Crescens,Graffito/incised,Latin,10210,"AGP-EDR175166, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR175166&gt; [accessed: 27 Mar 2023]",,Complesso a sei piani delle Terme del Sarno,24,17-23,VIII.2,Insula VIII.2,Pompeii,433032,Sarno Baths,,Terme del Sarno,,
"[---]n ore ap(?)[---]
[---]sumat aut ea va[---]
[---]sumpti opus est a[---]
[---]udam eu ei(?)[---]VDAI[---]","Textus secundum (1), aliter (2)-(5), (7); scriptus infra 04, 04968; in eadem manu sunt CIL 04, 04966-04973 (1); mensurae ex apographo apud (1).<br>v. 1: ore D&#7750;[ (2); ore D&#7840;[, fortasse d&#7841;[tur aut etiam d&#7883;[u (3) <br>v. 2: ea va+ (2); ea va&#7747;[ aut fortasse ea va&#7751;[a (3); fortasse aliquid ut: nummos con]sumat, aut ea van[a putet (5); <br>v. 3: opus est &#7841;[ (5)<br>v. 4: n]udam? (3); ]&#7750;DAI[ (2); ]udae (7)","Pompei (Napoli), VIII.7.19, Teatro Piccolo",,,Graffito/incised,Latin,4969,"AGP-EDR143927, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR143927&gt; [accessed: 27 Mar 2023]",,Teatro Piccolo,8,19,VIII.7,Insula VIII.7,Pompeii,433032,Small Theater,18,Teatro Piccolo,,
"Caesia, sei (:si) n[---]
sei (:si) parvom (:parvum) p[---]
es, bibe lude[---]
nec semper[---]","Textus secundum (1), aliter (2) (5)-(6); scriptus ad dextram CIL 04, 04971; in eadem manu CIL 04, 04966-04973 sunt (1); mensurae ex apographo apud (1). <br>vv. 1-2: sei pro si; v. 2: parvom pro parvum<br>v. 1: Caesia sel(?)i(?)n[ (2); sei n[ (3), confirmaverunt (1) aliique; n[umen vitai proferat annos,] exempli gratia (5)<br>v. 2: p[osthac tempus tibi dederit,] exempli gratia (5) <br>v. 3: lude l[ ut, exempli gratia, lude l[ubens: non semper ---] (5); e extema periit (8)<br>v. 4: semper q&#803;u[imus ---] (5)","Pompei (Napoli), VIII.7.19, Teatro Piccolo",,,Graffito/incised,Latin,4972,"AGP-EDR144787, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR144787&gt; [accessed: 27 Mar 2023]",,Teatro Piccolo,8,19,VIII.7,Insula VIII.7,Pompeii,433032,Small Theater,18,Teatro Piccolo,,
Restituta tuis chor&#7865;&#7883;[s],"Textus secundum (1), locus inventionis secundum (3), aliter (1)(4) <br>Sub EDR151716<br>Cf. EDR151710, fortasse eadem manu","Pompei (Napoli), Regio VI.9.1-2, Via di Mercurio, Facade",,,Graffito/incised,Latin,1341,"AGP-EDR151717, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151717&gt; [accessed: 27 Mar 2023]","VI.9.1-2, Via di Mercurio, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
"Primi=
g&#803;en=
us (:Primigenius)

&#12296;:infra&#12297;
((:navis))

&#12296;:infra&#12297;
((:gladiator cum scuto longo, galea, et gladio))","Textus secundum (4).<br>Hic titulus est positus super imagines navis, deinde gladiatoris (2).","Pompei (Napoli), Regio VIII.4.4, Casa dei Postumii/Casa di Olconio",Primigenius,Drawing of a gladiator and boat,painted,Latin,728,"AGP-EDR175965, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR175965&gt; [accessed: 27 Mar 2023]",,Casa dei Postumii e i suoi annessi,7,4,VIII.4,Insula VIII.4,Pompeii,433032,House of the Postumii/House of Holconius,"2-3,5-6,49,50",Casa dei Postumii/Casa di Olconio,"((:boat))
((:gladiator with long shield, helmet, and sword))","Primi=
g̣en=
us

〈:infra〉
5 ((:navis))

〈:infra〉
((:gladiator cum scuto longo, galea, et gladio))"
